SampleID,gas,avg_ppm,sd_ppm,avg_ppm_reference,sd_ppm_reference,water_uM,water_uM_sd,water_uatm,water_uatm_sd,n
ANDA7-WR2,n2o,0.35188444287623166,0.004354789127182278,0.33191546778952,0.010435045319660588,0.00937331246027703,4.2650881670457905e-4,0.385447506385271,0.017538811444386012,3
ANDA7-WR3,ch4,2.6207413431998434,0.10270870498326813,2.19090065770057,0.08276495366313595,0.021286416018442,0.0033828298172280122,15.0057565954263,2.3847096099735734,3
ANDA7-WR3,co2,777.492661297107,33.04164405782168,539.462808177743,33.68226383589128,35.7261470191412,1.417581968892522,1068.45350676689,42.395291744761394,3
ANDA7-WR3,n2o,0.3317127870029647,0.0027052804626255984,0.33191546778952,0.010435045319660588,0.00805830743675217,4.2650881670457905e-4,0.331372129153391,0.017538811444386012,3
ANDA8-WR1,ch4,6.47063779449156,0.13434381037689824,2.28082787280284,0.04841725633773246,0.180427903690994,0.003280257150269321,127.191782941027,2.312401501723115,3
ANDA8-WR1,co2,1073.4162869347267,18.95721491709378,537.889742522766,23.365295682719495,57.7805219741053,0.9550034818548775,1728.02853028001,28.561065334466125,3
ANDA8-WR1,n2o,0.4859199799798877,0.007589064537414441,0.348848925905887,0.004020906373520672,0.0174190706093827,2.8563635347869036e-4,0.716303586207036,0.01174588179450161,3
ANDA8-WR2,ch4,6.55265147069457,0.08311626073360569,2.28082787280284,0.04841725633773246,0.183896367245886,0.002029440044987304,129.636859642512,1.4306439991451143,3
ANDA8-WR2,co2,1074.79390852658,5.764264132927438,537.889742522766,23.365295682719495,57.8828930105837,0.9550034818548775,1731.09011687814,28.561065334466125,3
ANDA8-WR2,n2o,0.4816669261414437,0.004136421363255847,0.348848925905887,0.004020906373520672,0.0171418109139956,1.6434543089324924e-4,0.704902167694531,0.006758180396959011,3
ANDA8-WR3,ch4,7.011942897825794,0.13199820694353676,2.28082787280284,0.04841725633773246,0.203320390772595,0.0032229848247904308,143.329731608047,2.2720276513273574,3
ANDA8-WR3,co2,1170.5171475618367,9.694543176318563,537.889742522766,23.365295682719495,64.9960852348216,0.9550034818548775,1943.82268980917,28.561065334466125,3
ANDA8-WR3,n2o,0.507638173048385,0.006724767384354367,0.348848925905887,0.004020906373520672,0.0188348955256111,2.5310603489924e-4,0.774524859182956,0.010408176449512276,3
CAT10-WR1,ch4,9.728129219154354,0.15828240932936286,2.22029188112432,0.0320770191049101,0.320665665398943,0.0038647631290780796,226.051718585135,2.7244461803095286,3
CAT10-WR1,co2,1735.7444686628432,23.66755149766792,567.73315949089,9.451052725033865,105.778335613123,1.0154063215564164,3163.48789488139,30.36751890650146,3
CAT10-WR1,n2o,0.7774588881860124,0.006437090885878879,0.359781370188983,0.009078888962284086,0.0359778667364318,3.710790005866499e-4,1.47947474037469,0.015259437477862072,3
CAT10-WR2,ch4,9.301233004291374,0.10088434089347098,2.22029188112432,0.0320770191049101,0.302611676948181,0.00246328118606735,213.324646257221,1.7364782249954875,3
CAT10-WR2,co2,1719.81826340571,27.973415037709753,567.73315949089,9.451052725033865,104.594859578062,1.2001403046534278,3128.09395443889,35.89231484806402,3
CAT10-WR2,n2o,0.760793903365159,0.01957993986770244,0.359781370188983,0.009078888962284086,0.0348914641676952,7.369475641655198e-4,1.4347999082036,0.03030461239269346,3
CAT10-WR3,ch4,8.385207807711817,0.1243003120042714,2.22029188112432,0.0320770191049101,0.263871796518547,0.003035026221817132,186.015153867363,2.1395271381460828,3
CAT10-WR3,co2,1698.3188200652667,37.958183688844024,567.73315949089,9.451052725033865,102.997236318172,1.6285157201939544,3080.31420999551,48.70363801430901,3
